ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-320-75-1,chec1245,Chechen,1852,кест-кеста,CyrillTrans,often,,,kest-kesta,Phonemic
14-310-75-1,chec1245,Chechen,1676,даим,CyrillTrans,always,,,"daim, gut̄ar",Phonemic
14-310-75-3,chec1245,Chechen,1676,гуттар,CyrillTrans,always,,,"daim, gut̄ar",Phonemic
14-290-75-1,chec1245,Chechen,790,кийча,CyrillTrans,ready,,,kiyča,Phonemic
14-280-75-1,chec1245,Chechen,1928,саца,CyrillTrans,"cease, stop",,,saca,Phonemic
14-270-75-1,chec1245,Chechen,1766,чекхда̄ла,CyrillTrans,finish,,,"čeqdāla, čeqdāq̄a",Phonemic
14-270-75-3,chec1245,Chechen,1766,чекхдаккха,CyrillTrans,finish,,,"čeqdāla, čeqdāq̄a",Phonemic
14-260-75-1,chec1245,Chechen,743,чекхда̄ккха,CyrillTrans,end (temporal),,,"čeqdāq̄a, čeqdāliyta",Phonemic
14-260-75-3,chec1245,Chechen,743,чекхда̄лийта,CyrillTrans,end (temporal),,,"čeqdāq̄a, čeqdāliyta",Phonemic
14-252-75-1,chec1245,Chechen,1186,дІадаха,CyrillTrans,"last, endure",,,dʕadaxa,Phonemic
14-250-75-1,chec1245,Chechen,1806,доло,CyrillTrans,"begin, beginning",,,"dolo, yüħ",Phonemic
14-250-75-3,chec1245,Chechen,1806,йуьхь,CyrillTrans,"begin, beginning",,,"dolo, yüħ",Phonemic
14-240-75-1,chec1245,Chechen,425,саца,CyrillTrans,"retard, delay",,,"saca, sacadala, ħedala",Phonemic
14-240-75-3,chec1245,Chechen,425,сацадала,CyrillTrans,"retard, delay",,,"saca, sacadala, ħedala",Phonemic
14-240-75-5,chec1245,Chechen,425,хьедала,CyrillTrans,"retard, delay",,,"saca, sacadala, ħedala",Phonemic
14-230-75-1,chec1245,Chechen,754,сихдала,CyrillTrans,"hasten, hurry",,,"sixdala, sixo yan, sixa xila",Phonemic
14-230-75-3,chec1245,Chechen,754,сихо йан,CyrillTrans,"hasten, hurry",,,"sixdala, sixo yan, sixa xila",Phonemic
14-230-75-5,chec1245,Chechen,754,сиха хила,CyrillTrans,"hasten, hurry",,,"sixdala, sixo yan, sixa xila",Phonemic
14-220-75-1,chec1245,Chechen,701,меллаша,CyrillTrans,slow,,,mel̄aša,Phonemic
14-210-75-1,chec1245,Chechen,1631,сиха,CyrillTrans,"swift, fast, quick",,,"sixa, čexka, māsa",Phonemic
14-210-75-3,chec1245,Chechen,1631,чехка,CyrillTrans,"swift, fast, quick",,,"sixa, čexka, māsa",Phonemic
14-210-75-5,chec1245,Chechen,1631,ма̄са,CyrillTrans,"swift, fast, quick",,,"sixa, čexka, māsa",Phonemic
14-190-75-1,chec1245,Chechen,1963,хьем боцуш,CyrillTrans,immediately,,,ħem bocuš,Phonemic
14-180-75-1,chec1245,Chechen,1376,хІинца,CyrillTrans,now,,,hinca,Phonemic
14-170-75-1,chec1245,Chechen,477,тІаьхьа,CyrillTrans,late,,,tʼäħa,Phonemic
14-160-75-1,chec1245,Chechen,672,хьалха,CyrillTrans,early,,,ħalxa,Phonemic
14-150-75-1,chec1245,Chechen,1229,къе̄на,CyrillTrans,old,,,qʼēna,Phonemic
14-140-75-1,chec1245,Chechen,1207,къона,CyrillTrans,young,,,"qʼona, žima",Phonemic
14-140-75-3,chec1245,Chechen,1207,жима,CyrillTrans,young,,,"qʼona, žima",Phonemic
14-120-75-1,chec1245,Chechen,1789,хан,CyrillTrans,age,,,"xan, bʕešo, ömar, zama",Phonemic
14-120-75-3,chec1245,Chechen,1789,бІешо,CyrillTrans,age,,,"xan, bʕešo, ömar, zama",Phonemic
14-120-75-5,chec1245,Chechen,1789,оьмар,CyrillTrans,age,,,"xan, bʕešo, ömar, zama",Phonemic
14-120-75-7,chec1245,Chechen,1789,зама,CyrillTrans,age,,,"xan, bʕešo, ömar, zama",Phonemic
14-130-75-1,chec1245,Chechen,1231,керла,CyrillTrans,new,,,"kerla, cʼena",Phonemic
14-130-75-3,chec1245,Chechen,1231,цІена,CyrillTrans,new,,,"kerla, cʼena",Phonemic
14-110-75-1,chec1245,Chechen,892,хан,CyrillTrans,time,,,xan,Phonemic
13-440-75-1,chec1245,Chechen,417,кхузза,CyrillTrans,three times,,,quzza,Phonemic
